z,Time,ISM,Stars,H,He,C,N,O,Fe
6.606606606606607,8761467895.716667,1736808321110504.2,87372769606.14876,-81354873520085.3,-25691012688809.746,460712275683677.25,460712275683677.25,460712197143046.9,460717458894616.9
6.618618618618618,8762504614.370764,1740041437572216.8,87372769606.14876,-81655658417738.62,-25785997393307.418,461619497199643.1,461619497199643.1,461619418659012.75,461624680410582.75
6.63063063063063,8763537254.668137,1743274554033929.2,87372769606.14876,-81956443315391.95,-25880982097805.09,462526718715609.0,462526718715609.0,462526640174978.6,462531901926548.6
6.642642642642643,8764565839.034933,1746507670495641.8,87372769606.14876,-82257228213045.28,-25975966802302.76,463433940231574.9,463433940231574.9,463433861690944.5,463439123442514.5
6.654654654654655,8765590389.738995,1749740786957354.2,87372769606.14876,-82558013110698.61,-26070951506800.434,464341161747540.75,464341161747540.75,464341083206910.4,464346344958480.4
6.666666666666667,8766610928.891232,1752973903419066.8,87372769606.14876,-82858798008351.94,-26165936211298.105,465248383263506.6,465248383263506.6,465248304722876.25,465253566474446.25
6.678678678678678,8767627478.446955,1756207019880779.2,87372769606.14876,-83159582906005.27,-26260920915795.777,466155604779472.5,466155604779472.5,466155526238842.1,466160787990412.1
6.6906906906906904,8768640060.207232,1759440136342491.8,87372769606.14876,-83460367803658.6,-26355905620293.45,467062826295438.4,467062826295438.4,467062747754808.0,467068009506378.0
6.702702702702703,8769648695.820192,1762673252804204.2,87372769606.14876,-83761152701311.92,-26450890324791.12,467970047811404.25,467970047811404.25,467969969270773.9,467975231022343.9
6.714714714714715,8770653406.782354,1765906369265916.8,87372769606.14876,-84061937598965.25,-26545875029288.793,468877269327370.1,468877269327370.1,468877190786739.75,468882452538309.75
6.726726726726727,8771654214.439901,1769139485727629.2,87372769606.14876,-84362722496618.58,-26640859733786.465,469784490843336.0,469784490843336.0,469784412302705.6,469789674054275.6
6.738738738738738,8772651139.98998,1772372602189341.8,87372769606.14876,-84663507394271.9,-26735844438284.137,470691712359301.9,470691712359301.9,470691633818671.5,470696895570241.5
6.7507507507507505,8773644204.48196,1775605718651054.2,87372769606.14876,-84964292291925.23,-26830829142781.81,471598933875267.75,471598933875267.75,471598855334637.4,471604117086207.4
6.762762762762763,8774633428.818703,1778838835112766.8,87372769606.14876,-85265077189578.56,-26925813847279.48,472506155391233.6,472506155391233.6,472506076850603.25,472511338602173.25
6.774774774774775,8775618833.757793,1782071951574479.2,87372769606.14876,-85565862087231.89,-27020798551777.152,473413376907199.5,473413376907199.5,473413298366569.1,473418560118139.1
6.786786786786787,8776600439.91278,1785305068036191.8,87372769606.14876,-85866646984885.22,-27115783256274.824,474320598423165.4,474320598423165.4,474320519882535.0,474325781634105.0
6.798798798798798,8777578267.75439,1788538184497904.2,87372769606.14876,-86167431882538.55,-27210767960772.496,475227819939131.25,475227819939131.25,475227741398500.9,475233003150070.9
6.8108108108108105,8778552337.61174,1791771300959616.8,87372769606.14876,-86468216780191.88,-27305752665270.168,476135041455097.1,476135041455097.1,476134962914466.75,476140224666036.75
6.822822822822823,8779522669.673538,1795004417421329.2,87372769606.14876,-86769001677845.2,-27400737369767.84,477042262971063.0,477042262971063.0,477042184430432.6,477047446182002.6
6.834834834834835,8780489283.989244,1798237533883041.8,87372769606.14876,-87069786575498.53,-27495722074265.51,477949484487028.9,477949484487028.9,477949405946398.5,477954667697968.5
6.846846846846847,8781452200.470274,1801470650344754.2,87372769606.14876,-87370571473151.86,-27590706778763.184,478856706002994.75,478856706002994.75,478856627462364.4,478861889213934.4
6.858858858858858,8782411438.891132,1804703766806466.8,87372769606.14876,-87671356370805.19,-27685691483260.855,479763927518960.6,479763927518960.6,479763848978330.25,479769110729900.25
6.870870870870871,8783367018.89058,1807936883268179.2,87372769606.14876,-87972141268458.52,-27780676187758.527,480671149034926.5,480671149034926.5,480671070494296.1,480676332245866.1
6.882882882882883,8784318959.972752,1811169999729891.8,87372769606.14876,-88272926166111.84,-27875660892256.2,481578370550892.4,481578370550892.4,481578292010262.0,481583553761832.0
6.894894894894895,8785267281.508308,1814403116191604.2,87372769606.14876,-88573711063765.17,-27970645596753.87,482485592066858.25,482485592066858.25,482485513526227.9,482490775277797.9
6.906906906906907,8786212002.735529,1817636232653316.8,87372769606.14876,-88874495961418.5,-28065630301251.543,483392813582824.1,483392813582824.1,483392735042193.75,483397996793763.75
6.918918918918919,8787153142.761421,1820869349115029.2,87372769606.14876,-89175280859071.83,-28160615005749.215,484300035098790.0,484300035098790.0,484299956558159.6,484305218309729.6
6.930930930930931,8788090720.562822,1824102465576741.8,87372769606.14876,-89476065756725.16,-28255599710246.887,485207256614755.9,485207256614755.9,485207178074125.5,485212439825695.5
6.942942942942943,8789024754.987473,1827335582038454.2,87372769606.14876,-89776850654378.48,-28350584414744.56,486114478130721.75,486114478130721.75,486114399590091.4,486119661341661.4
6.954954954954955,8789955264.755089,1830568698500166.8,87372769606.14876,-90077635552031.81,-28445569119242.23,487021699646687.6,487021699646687.6,487021621106057.25,487026882857627.25
6.966966966966967,8790882268.458431,1833801814961879.2,87372769606.14876,-90378420449685.14,-28540553823739.902,487928921162653.5,487928921162653.5,487928842622023.1,487934104373593.1
6.978978978978979,8791805784.564342,1837034931423591.8,87372769606.14876,-90679205347338.47,-28635538528237.574,488836142678619.4,488836142678619.4,488836064137989.0,488841325889559.0
6.990990990990991,8792725831.414804,1840268047885304.2,87372769606.14876,-90979990244991.8,-28730523232735.246,489743364194585.25,489743364194585.25,489743285653954.9,489748547405524.9
7.003003003003003,8793642427.227951,1843501164347016.8,87372769606.14876,-91280775142645.12,-28825507937232.918,490650585710551.1,490650585710551.1,490650507169920.75,490655768921490.75
7.015015015015015,8794555590.099104,1846734280808729.2,87372769606.14876,-91581560040298.45,-28920492641730.59,491557807226517.0,491557807226517.0,491557728685886.6,491562990437456.6
7.027027027027027,8795465338.001772,1849967397270441.8,87372769606.14876,-91882344937951.78,-29015477346228.26,492465028742482.9,492465028742482.9,492464950201852.5,492470211953422.5
7.039039039039039,8796371688.788658,1853200513732154.2,87372769606.14876,-92183129835605.11,-29110462050725.934,493372250258448.75,493372250258448.75,493372171717818.4,493377433469388.4
7.051051051051051,8797274660.192652,1856433630193866.8,87372769606.14876,-92483914733258.44,-29205446755223.605,494279471774414.6,494279471774414.6,494279393233784.25,494284654985354.25
7.063063063063063,8798174269.8278,1859666746655579.2,87372769606.14876,-92784699630911.77,-29300431459721.277,495186693290380.5,495186693290380.5,495186614749750.1,495191876501320.1
7.075075075075075,8799070535.190294,1862899863117291.8,87372769606.14876,-93085484528565.1,-29395416164218.95,496093914806346.4,496093914806346.4,496093836265716.0,496099098017286.0
7.087087087087087,8799963473.659418,1866132979579004.2,87372769606.14876,-93386269426218.42,-29490400868716.62,497001136322312.25,497001136322312.25,497001057781681.9,497006319533251.9
7.099099099099099,8800853102.49851,1869366096040716.8,87372769606.14876,-93687054323871.75,-29585385573214.293,497908357838278.1,497908357838278.1,497908279297647.75,497913541049217.75
7.111111111111111,8801739438.855907,1872599212502429.2,87372769606.14876,-93987839221525.08,-29680370277711.965,498815579354244.0,498815579354244.0,498815500813613.6,498820762565183.6
7.123123123123123,8802622499.765873,1875832328964141.8,87372769606.14876,-94288624119178.4,-29775354982209.637,499722800870209.9,499722800870209.9,499722722329579.5,499727984081149.5
7.135135135135135,8803502302.149534,1879065445425854.2,87372769606.14876,-94589409016831.73,-29870339686707.31,500630022386175.75,500630022386175.75,500629943845545.4,500635205597115.4
7.147147147147147,8804378862.815788,1882298561887566.8,87372769606.14876,-94890193914485.06,-29965324391204.98,501537243902141.6,501537243902141.6,501537165361511.25,501542427113081.25
7.1591591591591595,8805252198.462214,1885531678349279.2,87372769606.14876,-95190978812138.39,-30060309095702.652,502444465418107.5,502444465418107.5,502444386877477.1,502449648629047.1
7.171171171171171,8806122325.675978,1888764794810991.8,87372769606.14876,-95491763709791.72,-30155293800200.324,503351686934073.4,503351686934073.4,503351608393443.0,503356870145013.0
7.183183183183183,8806989260.934715,1891997911272704.2,87372769606.14876,-95792548607445.05,-30250278504697.996,504258908450039.25,504258908450039.25,504258829909408.9,504264091660978.9
7.195195195195195,8807853020.60742,1895231027734416.8,87372769606.14876,-96093333505098.38,-30345263209195.668,505166129966005.1,505166129966005.1,505166051425374.75,505171313176944.75
